exam_index	english	japanese	exam_category	pos	pos_raw	source
0	did	do の過去	書ける最優先	動詞	動	reviewed-meaning
1	and	そして	書ける最優先	接続詞	接	reviewed-meaning
2	be (am / is / are)	〜である	書ける最優先	動詞	動	reviewed-meaning
3	read	読む	書ける最優先	動詞	動	reviewed-meaning
4	because	〜なので	書ける最優先	接続詞	接	reviewed-meaning
5	do	する（疑問・否定にも使う）	書ける最優先	動詞	動	reviewed-meaning
6	has	have の三単現	書ける最優先	動詞	動	textbook-consensus
7	study	勉強する	書ける最優先	動詞	動	textbook-consensus
8	feel	感じる	書ける最優先	動詞	動	textbook-consensus
9	so	だから	書ける最優先	接続詞	接	textbook-consensus
10	but	しかし	書ける最優先	接続詞	接	textbook-consensus
11	this	これ	書ける最優先	代名詞	代	reviewed-meaning
12	had	have の過去	書ける最優先	動詞	動	reviewed-meaning
13	will	〜するつもり／だろう	書ける最優先	助動詞	助	textbook-consensus
14	like	好き／〜のような	書ける最優先	動詞	動	textbook-consensus
15	help	助ける	書ける最優先	動詞	動	textbook-consensus
16	start	始める	書ける最優先	動詞	動	textbook-consensus
17	say	言う	書ける最優先	動詞	動	textbook-consensus
18	make	作る	書ける最優先	動詞	動	textbook-consensus
19	look	見る／〜に見える	書ける最優先	動詞	動	textbook-consensus
20	come	来る	書ける最優先	動詞	動	textbook-consensus
21	when	〜するとき	書ける最優先	副詞	副	textbook-consensus
22	after	〜の後に	書ける最優先	前置詞	前	textbook-consensus
23	while	〜している間	書ける最優先	名詞	名	textbook-consensus
24	or	または	書ける最優先	接続詞	接	textbook-consensus
25	also	〜もまた	書ける最優先	副詞	副	textbook-consensus
26	however	しかしながら	書ける最優先	副詞	副	textbook-consensus
27	important	重要な	書ける最優先	形容詞	形	textbook-consensus
28	soon	すぐに	書ける最優先	副詞	副	textbook-consensus
29	today	今日	書ける最優先	副詞	副	reviewed-meaning
30	then	そのとき／それから	書ける最優先	副詞	副	textbook-consensus
31	there	そこ	書ける最優先	副詞	副	textbook-consensus
32	my	私の	書ける最優先	代名詞	代	textbook-consensus
33	everyone	みんな	書ける最優先	代名詞	代	textbook-consensus
34	many	たくさんの	書ける最優先	形容詞	形	textbook-consensus
35	school	学校	書ける最優先	名詞	名	textbook-consensus
36	student	生徒	書ける最優先	名詞	名	textbook-consensus
37	idea	考え	書ける最優先	名詞	名	textbook-consensus
38	information	情報	書ける最優先	名詞	名	textbook-consensus
