status	exam_index	english	japanese	phrase	exam_category	candidate_pos
ambiguous	11	this	これ	0	書ける最優先	代名詞|形容詞
ambiguous	29	today	今日	0	書ける最優先	名詞|副詞
ambiguous	48	may	〜してもよい／かもしれない	0	書ける最優先	名詞|助動詞
ambiguous	49	need	必要とする	0	書ける最優先	名詞|動詞
ambiguous	69	answer	答える／答え	0	書ける最優先	動詞|名詞
ambiguous	108	turn	曲がる／回す	0	書ける最優先	名詞|動詞
ambiguous	137	tomorrow	明日	0	書ける最優先	名詞|副詞
ambiguous	138	yesterday	昨日	0	書ける最優先	名詞|副詞
ambiguous	143	those	それら	0	書ける最優先	形容詞|代名詞
ambiguous	155	enough	十分な	0	書ける最優先	形容詞|副詞
ambiguous	169	future	未来	0	書ける最優先	名詞|形容詞
ambiguous	184	all	すべての	0	書ける最優先	代名詞|形容詞
ambiguous	208	light	光	0	書ける最優先	名詞|形容詞
ambiguous	237	global warming	地球温暖化	1	長文テーマ語	名詞|熟語・表現
ambiguous	265	guide	案内人／案内する	0	長文テーマ語	名詞|動詞
unresolved	0	did	do の過去	0	書ける最優先	
unresolved	1	and	そして	0	書ける最優先	
unresolved	2	be (am / is / are)	〜である	1	書ける最優先	
unresolved	3	read	読む	0	書ける最優先	
unresolved	4	because	〜なので	0	書ける最優先	
unresolved	12	had	have の過去	0	書ける最優先	
unresolved	39	both	両方とも	0	書ける最優先	
unresolved	45	would	will の過去／ていねい	0	書ける最優先	
unresolved	50	want	〜したい	0	書ける最優先	
unresolved	52	try	やってみる	0	書ける最優先	
unresolved	60	think	思う	0	書ける最優先	
unresolved	75	give	与える	0	書ける最優先	
unresolved	86	hear	聞こえる	0	書ける最優先	
unresolved	87	listen	聞く	0	書ける最優先	
unresolved	109	begin	始まる	0	書ける最優先	
unresolved	116	disagree	反対する	0	書ける最優先	
unresolved	159	few	少しの（数える）	0	書ける最優先	
unresolved	164	test	テスト	0	書ける最優先	
unresolved	168	opinion	意見	0	書ける最優先	
unresolved	171	solution	解決	0	書ける最優先	
unresolved	172	schedule	予定	0	書ける最優先	
unresolved	176	script	台本／原稿	0	書ける最優先	
unresolved	178	since	〜以来（優先）／〜なので	0	書ける最優先	
unresolved	179	unless	もし〜でなければ	0	書ける最優先	
unresolved	188	difference	違い	0	書ける最優先	
unresolved	195	town	町	0	書ける最優先	
unresolved	204	first	最初の／まず	0	書ける最優先	
unresolved	209	fix	修理する／直す	0	書ける最優先	
unresolved	211	shop	店	0	書ける最優先	
unresolved	225	solar	太陽の	0	長文テーマ語	
unresolved	226	wind	風の	0	長文テーマ語	
unresolved	229	reuse	再使用する	0	長文テーマ語	
unresolved	234	wildlife	野生生物	0	長文テーマ語	
unresolved	236	save the earth	地球を守る	1	長文テーマ語	
unresolved	242	flood	洪水	0	長文テーマ語	
unresolved	243	evacuation	避難	0	長文テーマ語	
unresolved	248	community	地域社会	0	長文テーマ語	
unresolved	249	local community	地域社会	1	長文テーマ語	
unresolved	250	take part in	参加する	1	長文テーマ語	
unresolved	257	traditional culture	伝統文化	1	長文テーマ語	
unresolved	259	temple	寺	0	長文テーマ語	
unresolved	260	shrine	神社	0	長文テーマ語	
unresolved	264	sightseeing	観光	0	長文テーマ語	
unresolved	268	traffic	交通／渋滞	0	長文テーマ語	
unresolved	270	passport	パスポート	0	長文テーマ語	
unresolved	271	customs	税関	0	長文テーマ語	
unresolved	279	success	成功	0	長文テーマ語	
unresolved	283	opportunity	機会	0	長文テーマ語	
unresolved	285	science	科学	0	長文テーマ語	
unresolved	287	experiment	実験	0	長文テーマ語	
unresolved	291	AI	人工知能	0	長文テーマ語	
unresolved	293	internet	インターネット	0	長文テーマ語	
unresolved	296	social media	SNS	1	長文テーマ語	
unresolved	297	smartphone	スマホ	0	長文テーマ語	
unresolved	298	app	アプリ	0	長文テーマ語	
unresolved	300	privacy	プライバシー	0	長文テーマ語	
unresolved	310	diet	食事・食生活	0	長文テーマ語	
unresolved	314	symptom	症状	0	長文テーマ語	
unresolved	315	stress	ストレス	0	長文テーマ語	
unresolved	325	audience	観客	0	長文テーマ語	
unresolved	326	instrument	楽器	0	長文テーマ語	
unresolved	327	speech contest	スピーチコンテスト	1	長文テーマ語	
unresolved	335	pamphlet	小冊子／案内パンフレット	0	長文テーマ語	
unresolved	336	plain	わかりやすい／平易な	0	長文テーマ語	
unresolved	337	pair	組み合わせ／対	0	長文テーマ語	
unresolved	338	easy Japanese	やさしい日本語	1	長文テーマ語	
unresolved	340	local festival	地域の祭り	1	長文テーマ語	
unresolved	341	lantern	ちょうちん	0	長文テーマ語	
unresolved	342	lantern walk	ちょうちん行列	1	長文テーマ語	
unresolved	343	community center	公民館／地域センター	1	長文テーマ語	
unresolved	347	ocean view	海の見える景色	1	長文テーマ語	
unresolved	350	summer camp	夏のキャンプ	1	長文テーマ語	
unresolved	351	opera	オペラ	0	長文テーマ語	
unresolved	352	special teacher	特別講師	1	長文テーマ語	
unresolved	353	science class	科学教室	1	長文テーマ語	
unresolved	354	volunteer work	ボランティア活動	1	長文テーマ語	
unresolved	355	percentage	割合	0	長文テーマ語	
unresolved	356	result	結果	0	長文テーマ語	
unresolved	357	local problem(s)	地域の問題	1	長文テーマ語	
unresolved	358	Because ...	なぜなら〜	1	英作文の型	
unresolved	359	I think (that) ...	私は〜と思います（※thatは省略可）	1	英作文の型	
unresolved	360	In my opinion, ...	私の意見では〜	1	英作文の型	
unresolved	361	I agree with ...	〜に賛成です	1	英作文の型	
unresolved	362	I disagree with ...	〜に反対です	1	英作文の型	
unresolved	363	First, ...	まず	1	英作文の型	
unresolved	364	Second, ...	次に	1	英作文の型	
unresolved	365	Finally, ...	最後に	1	英作文の型	
unresolved	366	Also, ...	それに／また	1	英作文の型	
unresolved	367	However, ...	しかし	1	英作文の型	
unresolved	368	For example, ...	たとえば	1	英作文の型	
unresolved	369	So ...	だから〜	1	英作文の型	
unresolved	370	That is why ...	だからこそ〜	1	英作文の型	
unresolved	371	It is important to ...	〜することは大切だ	1	英作文の型	
unresolved	372	It is necessary to ...	〜する必要がある	1	英作文の型	
unresolved	373	It is good for ...	〜に良い	1	英作文の型	
unresolved	374	It helps me (us) ...	（私たちの）助けになる	1	英作文の型	
unresolved	375	It makes me ...	私を〜な気持ちにする	1	英作文の型	
unresolved	376	I want to ...	〜したい	1	英作文の型	
unresolved	377	I would like to ...	〜したい（丁寧）	1	英作文の型	
unresolved	378	I am going to ...	〜するつもりだ	1	英作文の型	
unresolved	379	I plan to ...	〜する予定だ	1	英作文の型	
unresolved	380	I hope to ...	〜したいと思う（望む）	1	英作文の型	
unresolved	381	We should ...	私たちは〜すべきだ	1	英作文の型	
unresolved	382	We must ...	私たちは〜しなければならない	1	英作文の型	
unresolved	383	We can ...	私たちは〜できる	1	英作文の型	
unresolved	384	If I have time, ...	もし時間があれば〜	1	英作文の型	
unresolved	385	If I were you, ...	もし私があなたなら〜	1	英作文の型	
unresolved	386	When I ..., I ...	私が〜するとき、…	1	英作文の型	
unresolved	387	I am good at ...	〜が得意だ	1	英作文の型	
unresolved	388	I am not good at ...	〜が苦手だ	1	英作文の型	
unresolved	389	I am interested in ...	〜に興味がある	1	英作文の型	
unresolved	390	I like ... because ...	私は…が好き。なぜなら…	1	英作文の型	
unresolved	391	I learned (that) ...	〜を学んだ	1	英作文の型	
unresolved	392	I was surprised (that) ...	〜に驚いた	1	英作文の型	
unresolved	393	I was happy to ...	〜できてうれしかった	1	英作文の型	
unresolved	394	I was able to ...	〜できた	1	英作文の型	
unresolved	395	I couldn't ...	〜できなかった	1	英作文の型	
unresolved	396	It is hard to ...	〜するのは難しい	1	英作文の型	
unresolved	397	It is easy to ...	〜するのは簡単だ	1	英作文の型	
unresolved	398	I think it is better to ...	〜したほうがよいと思う	1	英作文の型	
unresolved	399	We need to ...	私たちは〜する必要がある	1	英作文の型	
unresolved	400	We don't have to ...	〜する必要はない	1	英作文の型	
unresolved	401	I recommend ...	〜をおすすめする	1	英作文の型	
unresolved	402	Why don't we ...?	〜しませんか？	1	英作文の型	
unresolved	403	How about ...?	〜はどう？	1	英作文の型	
unresolved	404	Let's ...	〜しよう	1	英作文の型	
unresolved	405	It is a good idea to ...	〜するのはよい考えだ	1	英作文の型	
unresolved	406	I prefer A to B.	私はBよりAが好き	1	英作文の型	
unresolved	407	A is better than B.	AはBよりよい	1	英作文の型	
unresolved	408	I have to ...	〜しなければならない	1	英作文の型	
unresolved	409	I have been to ...	〜に行ったことがある	1	英作文の型	
unresolved	410	I have never ...	一度も〜ない	1	英作文の型	
unresolved	411	I am looking forward to ...	〜を楽しみにしている	1	英作文の型	
unresolved	412	Thank you for ...	〜してくれてありがとう	1	英作文の型	
unresolved	413	I think we can ...	私たちは〜できると思う	1	英作文の型	
unresolved	414	What can we do for ...?	〜のために何ができますか	1	英作文の型	
unresolved	415	To make our country/community better, ...	国や地域をよりよくするために、…	1	英作文の型	
unresolved	416	We should take action to ...	〜するために行動すべきだ	1	英作文の型	
unresolved	417	We can help by ...	〜することで役立てる	1	英作文の型	
unresolved	418	If we help each other, ...	もし助け合えば、…	1	英作文の型	
unresolved	419	I want to join ...	〜に参加したい	1	英作文の型	
unresolved	420	because of	〜のために	1	40点超え追加	
unresolved	421	although	〜だけれども	0	40点超え追加	
unresolved	422	even if	たとえ〜でも	1	40点超え追加	
unresolved	424	such as	〜のような（例として）	1	40点超え追加	
unresolved	425	instead	その代わりに	0	40点超え追加	
unresolved	426	in that case	その場合は	1	40点超え追加	
unresolved	431	besides	その上／〜に加えて	0	40点超え追加	
unresolved	433	for that reason	その理由で	1	40点超え追加	
unresolved	434	as soon as	〜するとすぐ	1	40点超え追加	
unresolved	435	not ... anymore	もう〜ない	1	40点超え追加	
unresolved	437	as well as	〜だけでなく…も	1	40点超え追加	
unresolved	438	neither	どちらも〜ない	0	40点超え追加	
unresolved	439	neither A nor B	AもBも〜ない	1	40点超え追加	
unresolved	440	either A or B	AかBのどちらか	1	40点超え追加	
unresolved	441	one of	〜のうちの一つ	1	40点超え追加	
unresolved	442	the same as	〜と同じ	1	40点超え追加	
unresolved	443	different from	〜と違う	1	40点超え追加	
unresolved	445	one another	お互い（に）	1	40点超え追加	
unresolved	447	the other	もう一方の	1	40点超え追加	
unresolved	449	at times	ときどき	1	40点超え追加	
unresolved	451	at once	すぐに／いっぺんに	1	40点超え追加	
unresolved	456	at the same time	同時に	1	40点超え追加	
unresolved	457	in the beginning	最初に	1	40点超え追加	
unresolved	459	in the past	過去に	1	40点超え追加	
unresolved	462	at last	ついに	1	40点超え追加	
unresolved	463	at the end	最後に	1	40点超え追加	
unresolved	464	helpful	役に立つ	0	40点超え追加	
unresolved	465	in my case	私の場合は	1	40点超え追加	
unresolved	469	all over the world	世界中で	1	40点超え追加	
unresolved	470	cut - cut - cut	切る	1	不規則動詞	
unresolved	471	read - read - read	読む	1	不規則動詞	
unresolved	472	put - put - put	置く	1	不規則動詞	
unresolved	473	let - let - let	〜させる / 許す	1	不規則動詞	
unresolved	474	hit - hit - hit	打つ	1	不規則動詞	
unresolved	475	cost - cost - cost	（費用が）かかる	1	不規則動詞	
unresolved	476	have - had - had	持っている／〜がある	1	不規則動詞	
unresolved	477	get - got - got	得る / 手に入れる	1	不規則動詞	
unresolved	478	make - made - made	作る	1	不規則動詞	
unresolved	479	hear - heard - heard	聞く	1	不規則動詞	
unresolved	480	say - said - said	言う	1	不規則動詞	
unresolved	481	tell - told - told	話す / 教える	1	不規則動詞	
unresolved	482	think - thought - thought	思う	1	不規則動詞	
unresolved	483	find - found - found	見つける	1	不規則動詞	
unresolved	484	feel - felt - felt	感じる	1	不規則動詞	
unresolved	485	bring - brought - brought	持ってくる	1	不規則動詞	
unresolved	486	build - built - built	建てる	1	不規則動詞	
unresolved	487	buy - bought - bought	買う	1	不規則動詞	
unresolved	488	catch - caught - caught	つかまえる	1	不規則動詞	
unresolved	489	hold - held - held	持つ／開催する	1	不規則動詞	
unresolved	490	keep - kept - kept	保つ / 飼う	1	不規則動詞	
unresolved	491	leave - left - left	去る / 置いていく	1	不規則動詞	
unresolved	492	lend - lent - lent	貸す	1	不規則動詞	
unresolved	493	lose - lost - lost	失う / 負ける	1	不規則動詞	
unresolved	494	meet - met - met	会う	1	不規則動詞	
unresolved	495	pay - paid - paid	払う	1	不規則動詞	
unresolved	496	sell - sold - sold	売る	1	不規則動詞	
unresolved	497	send - sent - sent	送る	1	不規則動詞	
unresolved	498	sit - sat - sat	座る	1	不規則動詞	
unresolved	499	sleep - slept - slept	眠る	1	不規則動詞	
unresolved	500	spend - spent - spent	（時間・お金を）使う	1	不規則動詞	
unresolved	501	stand - stood - stood	立つ	1	不規則動詞	
unresolved	502	teach - taught - taught	教える	1	不規則動詞	
unresolved	503	understand - understood - understood	理解する	1	不規則動詞	
unresolved	504	win - won - won	勝つ	1	不規則動詞	
unresolved	505	come - came - come	来る	1	不規則動詞	
unresolved	506	become - became - become	〜になる	1	不規則動詞	
unresolved	507	run - ran - run	走る	1	不規則動詞	
unresolved	508	be - was/were - been	〜である / いる	1	不規則動詞	
unresolved	509	do - did - done	する	1	不規則動詞	
unresolved	510	go - went - gone	行く	1	不規則動詞	
unresolved	511	take - took - taken	取る / 連れていく	1	不規則動詞	
unresolved	512	give - gave - given	与える	1	不規則動詞	
unresolved	513	see - saw - seen	見る	1	不規則動詞	
unresolved	514	know - knew - known	知っている	1	不規則動詞	
unresolved	515	begin - began - begun	始まる / 始める	1	不規則動詞	
unresolved	516	break - broke - broken	こわす / 壊れる	1	不規則動詞	
unresolved	517	choose - chose - chosen	選ぶ	1	不規則動詞	
unresolved	518	draw - drew - drawn	描く	1	不規則動詞	
unresolved	519	drink - drank - drunk	飲む	1	不規則動詞	
unresolved	520	drive - drove - driven	運転する	1	不規則動詞	
unresolved	521	eat - ate - eaten	食べる	1	不規則動詞	
unresolved	522	fall - fell - fallen	落ちる	1	不規則動詞	
unresolved	523	fly - flew - flown	飛ぶ	1	不規則動詞	
unresolved	524	forget - forgot - forgotten	忘れる	1	不規則動詞	
unresolved	525	ride - rode - ridden	乗る	1	不規則動詞	
unresolved	526	ring - rang - rung	鳴る / 鳴らす	1	不規則動詞	
unresolved	527	sing - sang - sung	歌う	1	不規則動詞	
unresolved	528	speak - spoke - spoken	話す	1	不規則動詞	
unresolved	529	swim - swam - swum	泳ぐ	1	不規則動詞	
unresolved	530	wear - wore - worn	着る / 身につける	1	不規則動詞	
unresolved	531	write - wrote - written	書く	1	不規則動詞	
unresolved	532	grow - grew - grown	育つ / 育てる	1	不規則動詞	
unresolved	533	throw - threw - thrown	投げる	1	不規則動詞	
