ID,教科書,教科書コード,学年,ファイル単元,大単元,大単元タイトル,単元名,教科書ページ,ページ開始,ページ終了,PDF順,PDFページ,表内順,英語,日本語,重要語,重要語フラグ,注記,英日_問題,英日_答え,日英_問題,日英_答え,元PDF,読みの目安,読み確認メモ,v6正本英語,検索用基本形,変化形・別表記,v6正本日本語,語句構造,複数語フラグ,v7確認状態
1,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ2 アルファベットと英語のきまり,,,,1,1,1,Sunday,日曜日,☆,1,,Sunday,日曜日,日曜日,Sunday,01.26NH1_KeyWords_Pr_英日_問題.pdf,サンデイ,,Sunday,Sunday,,日曜日,単語,0,原本保持
2,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ2 アルファベットと英語のきまり,,,,1,1,2,two,"2, 2つの",☆,1,,two,"2, 2つの","2, 2つの",two,01.26NH1_KeyWords_Pr_英日_問題.pdf,トゥー,,two,two,,"2, 2つの",単語,0,原本保持
3,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ2 アルファベットと英語のきまり,,,,1,1,3,Monday,月曜日,☆,1,,Monday,月曜日,月曜日,Monday,01.26NH1_KeyWords_Pr_英日_問題.pdf,マンデイ,,Monday,Monday,,月曜日,単語,0,原本保持
4,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ2 アルファベットと英語のきまり,,,,1,1,4,three,"3, 3つの",☆,1,,three,"3, 3つの","3, 3つの",three,01.26NH1_KeyWords_Pr_英日_問題.pdf,スリー,,three,three,,"3, 3つの",単語,0,原本保持
5,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ2 アルファベットと英語のきまり,,,,1,1,5,Tuesday,火曜日,☆,1,,Tuesday,火曜日,火曜日,Tuesday,01.26NH1_KeyWords_Pr_英日_問題.pdf,チューズデイ,,Tuesday,Tuesday,,火曜日,単語,0,原本保持
6,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ2 アルファベットと英語のきまり,,,,1,1,6,Japanese,日本語,☆,1,,Japanese,日本語,日本語,Japanese,01.26NH1_KeyWords_Pr_英日_問題.pdf,ジャパニーズ,,Japanese,Japanese,,日本語,単語,0,原本保持
7,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ2 アルファベットと英語のきまり,,,,1,1,7,I,私は,☆,1,,I,私は,私は,I,01.26NH1_KeyWords_Pr_英日_問題.pdf,アイ,,I,I,,私は,単語,0,原本保持
8,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ2 アルファベットと英語のきまり,,,,1,1,8,English,英語,☆,1,確認追加:PDFのI / English行から補正,English,英語,英語,English,01.26NH1_KeyWords_Pr_英日_問題.pdf,イングリッシュ,,English,English,,英語,単語,0,原本保持
9,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ2 アルファベットと英語のきまり,,,,1,1,9,you,あなたは,☆,1,,you,あなたは,あなたは,you,01.26NH1_KeyWords_Pr_英日_問題.pdf,ユー,,you,you,,あなたは,単語,0,原本保持
10,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ2 アルファベットと英語のきまり,,,,1,1,10,soccer,サッカー,☆,1,,soccer,サッカー,サッカー,soccer,01.26NH1_KeyWords_Pr_英日_問題.pdf,サッカー,,soccer,soccer,,サッカー,単語,0,原本保持
